"","CalBP","PrDens"
"820",6181,0.000180760647616312
"821",6180,0.000180994797646892
"822",6179,0.000181229081852753
"823",6178,0.000181463499598704
"824",6177,0.00018169805024636
"825",6176,0.00018193273315414
"826",6175,0.000182167547677256
"827",6174,0.000182402493167713
"828",6173,0.0001826375689743
"829",6172,0.000182872774442581
"830",6171,0.000183108108914895
"831",6170,0.000183343571730345
"832",6169,0.000183579162224794
"833",6168,0.00018381487973086
"834",6167,0.000184050723577907
"835",6166,0.000184286693092042
"836",6165,0.00018452278759611
"837",6164,0.000184759006409683
"838",6163,0.000184995348849059
"839",6162,0.000185231814227256
"840",6161,0.000185468401854003
"841",6160,0.000185705111035738
"842",6159,0.000185941941075598
"843",6158,0.000186178891273418
"844",6157,0.000186415960925724
"845",6156,0.000186653149325724
"846",6155,0.000186890455763307
"847",6154,0.000187127879525035
"848",6153,0.000187365419894138
"849",6152,0.000187603076150509
"850",6151,0.000187840847570698
"851",6150,0.000188078733427906
"852",6149,0.000188316732991981
"853",6148,0.000188554845529413
"854",6147,0.000188793070303326
"855",6146,0.000189031406573476
"856",6145,0.000189269853596242
"857",6144,0.000189508410624626
"858",6143,0.000189747076908244
"859",6142,0.00018998585169332
"860",6141,0.000190224734222685
"861",6140,0.000190463723735769
"862",6139,0.000190702819468595
"863",6138,0.000190942020653779
"864",6137,0.000191181326520518
"865",6136,0.000191420736294592
"866",6135,0.000191660249198355
"867",6134,0.00019189986445073
"868",6133,0.000192139581267208
"869",6132,0.000192379398859838
"870",6131,0.000192619316437227
"871",6130,0.000192859333204532
"872",6129,0.000193099448363458
"873",6128,0.000193339661112251
"874",6127,0.000193579970645696
"875",6126,0.00019382037615511
